url,lastFetch
https://uni-tuebingen.de/en/university/profile/,1752151849.7562938
https://uni-tuebingen.de/,1752151088.39439
https://uni-tuebingen.de/_assets/7d66ab3e4599366251c5af46f0e770b9/Images/favicon.ico,1752151088.548573
https://uni-tuebingen.de/typo3temp/assets/compressed/merged-195ca27ccbce6149776402acbec3d3c7-2f3a01f4bd32efd5c8f2b26ee9718ee0.css?1752063467,1752151088.72309
https://uni-tuebingen.de/_assets/7d66ab3e4599366251c5af46f0e770b9/Images/Favicons/apple-touch-icon.png,1752151089.900875
https://uni-tuebingen.de/_assets/7d66ab3e4599366251c5af46f0e770b9/Images/Favicons/favicon-32x32.png,1752151090.0458891
https://uni-tuebingen.de/_assets/7d66ab3e4599366251c5af46f0e770b9/Images/Favicons/favicon-16x16.png,1752151090.14548
https://uni-tuebingen.de/_assets/7d66ab3e4599366251c5af46f0e770b9/Images/Favicons/site.webmanifest,1752151090.239041
https://uni-tuebingen.de/_assets/7d66ab3e4599366251c5af46f0e770b9/Images/Favicons/safari-pinned-tab.svg,1752151090.324586
https://uni-tuebingen.de/en/uni-a-z/,1752151090.615575
https://uni-tuebingen.de/en/contact/,1752151091.1557992
https://uni-tuebingen.de/en/excellence-strategy/,1752151092.9828942
https://uni-tuebingen.de/en/study/prospective-students/,1752151095.803995
https://uni-tuebingen.de/en/study/,1752151098.856384
https://uni-tuebingen.de/en/staff/,1752151099.142415
https://uni-tuebingen.de/en/teaching-staff/,1752151099.517477
https://uni-tuebingen.de/en/alumni/,1752151099.8230941
https://uni-tuebingen.de/en/university/news-and-publications/media/,1752151104.347252
https://uni-tuebingen.de/en/business/,1752151104.625317
https://uni-tuebingen.de/en/lifelong-learning/,1752151104.8967218
https://uni-tuebingen.de/en/study/finding-a-course/degree-programs-available/,1752151105.331912
https://alma.uni-tuebingen.de/alma/pages/cs/sys/portal/hisinoneStartPage.faces,1752151105.6684952
https://epv-welt.uni-tuebingen.de/RestrictedPages/StartSearch.aspx,1752151105.781547
https://uni-tuebingen.de/en/facilities/administration/iv-student-affairs/student-administration/student-administration/,1752151106.1436942
https://uni-tuebingen.de/en/facilities/university-library/,1752151110.129803
https://webmail.uni-tuebingen.de/,1752151110.4505951
https://uni-tuebingen.de/en/international/study-in-tuebingen/advice-and-counseling-for-international-students/,1752151110.703816
https://uni-tuebingen.de/en/university/,1752151113.644902
https://uni-tuebingen.de/en/university/profile/facts-and-figures/,1752151850.263765
https://uni-tuebingen.de/en/university/profile/values-and-visions/,1752151850.608821
https://uni-tuebingen.de/en/university/profile/awards-and-distinctions/,1752151850.8970969
https://uni-tuebingen.de/en/universitaet/profil/freunde-und-foerderer/,1752151853.8805299
https://uni-tuebingen.de/en/university/profile/history-of-the-university/,1752151854.3078341
https://uni-tuebingen.de/en/university/organisation-and-management/,1752151856.9380538
https://uni-tuebingen.de/en/university/organisation-and-management/university-management/,1752151857.220603
https://uni-tuebingen.de/en/universitaet/organisation-und-leitung/senat/,1752151857.516682
https://uni-tuebingen.de/en/universitaet/organisation-und-leitung/universitaetsrat/,1752151857.865481
https://uni-tuebingen.de/en/universitaet/organisation-und-leitung/kommissionen/,1752151858.1477
https://uni-tuebingen.de/en/university/equity/,1752151862.000013
https://uni-tuebingen.de/_assets/f6ef6adaf5c92bf687a31a3adbcb0f7b/Css/news-basic.css?1715710092,1752151089.79075
https://uni-tuebingen.de/en/university/equity/policies/,1752151865.466437
